candidate_key,paper_id,chunk_id,concept_id,automatic_status,manual_decision,error_types,raw_subject,raw_relation,raw_object,effective_subject,effective_relation,effective_object,manual_subject,manual_relation,manual_object,manual_reason,source_phrase,rejection_reason_codes_json,repair_rule_ids_json
09ee9b77bef255e055e7,Kiwook_1,Kiwook_1:main:1ad66c0fdb5c8935e8d5,concept_wl_unoccupied_dos_correlation,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,"Pt L2,3-edge white-line intensity",CORRELATES_WITH,unoccupied Pt 5d density of states,"Pt L2,3-edge white-line intensity",CORRELATES_WITH,unoccupied Pt 5d density of states,,,,LEXICAL_FALSE_NEGATIVE,"Note that the integrated area under the WL peak of Pt L2,3-edge can directly reflect the unoccupied density of states of the Pt 5d orbitals.","[""RELATION_CUE_MISMATCH""]",[]
4aa006b06d692336d84a,Kiwook_1,Kiwook_1:main:641414853a1cb468ecee,bridge_bimetallic_interaction_modulates_electronic_structure,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,electronic influence of one metal in a bimetallic dimer,MODULATES,electronic structure of the partner metal,electronic influence of one metal in a bimetallic dimer,MODULATES,electronic structure of the partner metal,,,,LEXICAL_FALSE_NEGATIVE,"Density functional theory (DFT) calculation results indicate that the Pt atom strongly affects the electronic structure of the Ru atom, where the bimetallic dimer proceeds metallicity to covalence transformation, which results in the high HER performance.","[""RELATION_CUE_MISMATCH""]",[]
103af8e74affbcb3d6ea,Kiwook_1,Kiwook_1:main:70e5fe1129f40eb2b396,concept_coverage_dependent_site_selection,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,,,,LEXICAL_FALSE_NEGATIVE,"Interestingly, after the first step, the hydrogen atoms first adsorb on the Pt side one by one, after three hydrogen atoms adsorb on Pt side and one hydrogen on Ru side, the next one prefers to stay on the Ru atom in sequence.","[""RELATION_CUE_MISMATCH""]",[]
9bde07fa879a9f75dba9,Kiwook_1,Kiwook_1:main:7185649b53e40800c10b,pattern_intermetallic_bond_contraction_electron_redistribution,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,intermetallic bond contraction,PROMOTES,electron redistribution between paired metal sites,intermetallic bond contraction,PROMOTES,electron redistribution between paired metal sites,,,,LEXICAL_FALSE_NEGATIVE,"In this process, the bond distance between the Pt–Ru dimer decreases from 2.72 to 2.63 Å, which results in the electron redistribution between Pt–Ru dimer.","[""RELATION_CUE_MISMATCH""]",[]
0e3c246f26aa8beba282,Kiwook_1,Kiwook_1:main:864bfb4d8138f3745e6b,pat_hydrogen_coverage_dgh_variation,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,hydrogen adsorption free energy,VARIES_WITH,hydrogen adsorption coverage,hydrogen adsorption free energy,VARIES_WITH,hydrogen adsorption coverage,,,,LEXICAL_FALSE_NEGATIVE,"Meanwhile with the increase of the hydrogen adsorption, the ΔGH is further reduced, thus the electronic structure of Pt–Ru dimer under the hydrogen adsorption plays a vital role in modulating the HER activity of Pt–Ru dimer.","[""RELATION_CUE_MISMATCH""]",[]
bb0191d19dd2889aa705,Kiwook_1,Kiwook_1:main:8802334c1e07a24908e1,concept_dual_atom_vs_single_atom_her_activity,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,dual-atom architecture,CONTRASTS_WITH,single-atom architecture,dual-atom architecture,CONTRASTS_WITH,single-atom architecture,,,,LEXICAL_FALSE_NEGATIVE,"In addition, the Pt–Ru dimers exhibit better HER activity than Pt single atoms.","[""RELATION_CUE_MISMATCH""]",[]
bd2e2639e5d53d5c31ba,Kiwook_1,Kiwook_1:main:89725250d4a54308a1ed,bridge_substrate_coordination_stabilizes_single_atoms,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,bonding with C and N on substrates,PROMOTES,stabilization of metal single atoms,bonding with C and N on substrates,PROMOTES,stabilization of metal single atoms,,,,LEXICAL_FALSE_NEGATIVE,previous studies showed that the metal single atoms can be stabilized by bonding with C and N on the substrates.,"[""RELATION_CUE_MISMATCH""]",[]
282f1a1a7d941832757f,Kiwook_1,Kiwook_1:main:97de4f2566007b72213c,concept_1,REJECTED,RELABEL_AND_ACCEPT,FALSE_NEGATIVE,preferred hydrogen adsorption site,VARIES_WITH,metal-site identity,preferred hydrogen adsorption site,VARIES_WITH,metal-site identity,one-hydrogen adsorption regime,SELECTS,Ru site,RELATION_TYPE_MISMATCH,"As for one hydrogen atom, it prefers to adsorb on the Ru atom at the adsorption energy of −3.3 eV rather than the Pt atom (−2.5 eV).","[""RELATION_CUE_MISMATCH""]",[]
a2ca6b3583dbe65427e2,Kiwook_1,Kiwook_1:main:97de4f2566007b72213c,concept_2,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,strong metal–support heteroatom interaction,PROMOTES,HER stability,strong metal–support heteroatom interaction,PROMOTES,HER stability,,,,LEXICAL_FALSE_NEGATIVE,"Thanks to the strong interaction between Pt atoms with the N-site, both Pt–Ru dimers and Pt single atoms show better stability than the Pt/C catalysts.","[""RELATION_CUE_MISMATCH""]",[]
c4e9896ac8d1c5db7272,Kiwook_1,Kiwook_1:main:e4d1f78d21d5eeeda86c,concept_ru_loading_varies_with_pt_loading,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,Ru loading,VARIES_WITH,Pt loading,Ru loading,VARIES_WITH,Pt loading,,,,LEXICAL_FALSE_NEGATIVE,"Upon deposition of Ru on these three samples with different Pt loading at 270 °C, the Ru loadings was systematically reduced from 0.31% to 0.23 and 0.14 wt% (Fig. [2g](#page-3-0)).","[""RELATION_CUE_MISMATCH""]",[]
f476d8f67c0a3c659caa,Kiwook_1,Kiwook_1:main:f87df6adc7ad1e0676e2,pattern_heteronuclear_vs_homonuclear_adsorption,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,Pt–Ru dimer hydrogen adsorption behavior,CONTRASTS_WITH,Pt–Pt dimer hydrogen adsorption behavior,Pt–Ru dimer hydrogen adsorption behavior,CONTRASTS_WITH,Pt–Pt dimer hydrogen adsorption behavior,,,,LEXICAL_FALSE_NEGATIVE,"Meanwhile, the calculated ΔGH of Pt–Pt dimer is about −0.14 eV (Supplementary Fig. 18), which is quite close to that the bulk one, inferior to that of Pt–Ru as well.","[""RELATION_CUE_MISMATCH""]",[]
d166d1c4eaae0f4ccacb,Kiwook_2,Kiwook_2:main:0810ee1ff1fe164ae47d,bridge_coordination_robustness_stability,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,robust coordination configuration with strong metal–oxygen bonds,PROMOTES,physicochemical stability,robust coordination configuration with strong metal–oxygen bonds,PROMOTES,physicochemical stability,,,,LEXICAL_FALSE_NEGATIVE,"The excellent physicochemical stability can be attributed to the robust W—O—Mo—O—C configuration with strong W—O and Mo—O bonds inherited from the W- and Mo-based POMs, respectively.","[""RELATION_CUE_MISMATCH""]",[]
