candidate_key,paper_id,chunk_id,concept_id,automatic_status,policy_lane,manual_decision,error_types,raw_subject,raw_relation,raw_object,effective_subject,effective_relation,effective_object,manual_subject,manual_relation,manual_object,gold_subject,gold_relation,gold_object,manual_reason,source_phrase,candidate_reason_codes_json,rejection_reason_codes_json,repair_rule_ids_json,evidence_pointer_count,manual_anchor_correct
0fd0bab302b8dd86a997,Kiwook_2,Kiwook_2:main:aa6dedebab13cae1d393,concept_kinetics_intrinsic_activity,SEMANTIC_CANDIDATE,candidate,KEEP_REJECTED,INVALID_SEMANTIC_CANDIDATE,HER kinetics,PROMOTES,intrinsic activity,HER kinetics,PROMOTES,intrinsic activity,,,,,,,CAUSALITY_OVERREACH,"Distinctly,  $\text{W}_1\text{Mo}_1\text{-NG}$  has such a lower Tafel slope and larger  $j_0$  value than those of  $\text{Mo}_2\text{-NG}$ ,  $\text{W}_2\text{-NG}$ , and raw NG, suggesting the superior HER kinetics and enhancing the intrinsic activity of  $\text{W}_1\text{Mo}_1\text{-NG}$ .","[""CAUSAL_ARGUMENT_SCOPE_AMBIGUOUS""]",[],[],1,yes
103af8e74affbcb3d6ea,Kiwook_1,Kiwook_1:main:70e5fe1129f40eb2b396,concept_coverage_dependent_site_selection,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,,,,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,LEXICAL_FALSE_NEGATIVE,"Interestingly, after the first step, the hydrogen atoms first adsorb on the Pt side one by one, after three hydrogen atoms adsorb on Pt side and one hydrogen on Ru side, the next one prefers to stay on the Ru atom in sequence.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
20941b04d9c7d028da33,Kiwook_3,Kiwook_3:main:f3743a998cede62687cf,bp_nonh_charge_nuclearity,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,non-H total metal charge,VARIES_WITH,catalyst nuclearity,non-H total metal charge,VARIES_WITH,catalyst nuclearity,,,,non-H total metal charge,VARIES_WITH,catalyst nuclearity,VALID_AS_IS,|              Co-SVGN <sub>3</sub>               | +0.82                 | —                       | +0.82                   |                         |                         |                                          |                         |                         |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
22168ba5109f23f8420e,Kiwook_3,Kiwook_3:main:cecc5d30aab7b5ef7508,pattern_configuration_varies_with_metal_identity,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,metal configuration assignment,VARIES_WITH,metal identity,metal configuration assignment,VARIES_WITH,metal identity,,,,metal configuration assignment,VARIES_WITH,metal identity,VALID_AS_IS,| Ti           | Ⅰ                                  | − 9.92                | 2.08                    | 2.10                    | 2.10                    | 2.15                    | 2.06                                     | 2.06                    | 2.82                    |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
24d2f085b5b4f4e00bce,Kiwook_2,Kiwook_2:main:bac4243fe6f053d74649,bridge_heteronuclear_architecture_activity_contrast,ACCEPTED_PATTERN,confirmed,RELABEL_AND_ACCEPT,ARGUMENT_TUPLE_ERROR;ARGUMENT_SUBJECT_ERROR;ARGUMENT_OBJECT_ERROR,heteronuclear dual-atom architecture,CONTRASTS_WITH,homo- and benchmark comparator catalysts,heteronuclear dual-atom architecture,CONTRASTS_WITH,homo- and benchmark comparator catalysts,heteronuclear W–Mo dual-atom architecture,CONTRASTS_WITH,homonuclear Mo2/W2 dual-atom architectures,heteronuclear W–Mo dual-atom architecture,CONTRASTS_WITH,homonuclear Mo2/W2 dual-atom architectures,ARGUMENT_SCOPE_MISMATCH,"These reveal that $\text{W}_1\text{Mo}_1\text{-NG}$  has better intrinsic activity than $\text{Mo}_2\text{-NG}$ , $\text{W}_2\text{-NG}$ , and NG, even outperforming benchmark Pt/C in pH-universal electrolyte (8).",[],[],[],1,yes
282f1a1a7d941832757f,Kiwook_1,Kiwook_1:main:97de4f2566007b72213c,concept_1,SEMANTIC_CANDIDATE,candidate,RELABEL_AND_ACCEPT,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,preferred hydrogen adsorption site,VARIES_WITH,metal-site identity,preferred hydrogen adsorption site,VARIES_WITH,metal-site identity,one-hydrogen adsorption regime,SELECTS,Ru site,one-hydrogen adsorption regime,SELECTS,Ru site,RELATION_TYPE_MISMATCH,"As for one hydrogen atom, it prefers to adsorb on the Ru atom at the adsorption energy of −3.3 eV rather than the Pt atom (−2.5 eV).","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
4681763410e5fe8abae2,Kiwook_2,Kiwook_2:main:b59fb49d6a5ba373c5ee,bridge_coordination_environment_varies_with_metal_composition,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,coordination environment,VARIES_WITH,metal composition,coordination environment,VARIES_WITH,metal composition,,,,coordination environment,VARIES_WITH,metal composition,LEXICAL_FALSE_NEGATIVE,"$W_1Mo_1$ -NG and  $Mo_2$ -NG are O-coordinated, while the W(VI) in  $W_2$ -NG are co-coordinated with O and N atoms.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
6470ec47eea56d7bcbce,Kiwook_2,Kiwook_2:main:42fb715a6421357ffec3,pattern_coordination_number_composition,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,second-shell W-O/N coordination number,VARIES_WITH,dual-atom composition,second-shell W-O/N coordination number,VARIES_WITH,dual-atom composition,,,,second-shell W-O/N coordination number,VARIES_WITH,dual-atom composition,VALID_AS_IS,"Note that the local coordination of Mo atom in  $Mo_2$ -NG resembles that of  $W_1Mo_1$ -NG, suggesting similar local environment around the Mo center, while for  $W_2$ -NG, the CN of the W—O/N path (second shell) is 2.3, which is higher than that of  $W_1Mo_1$ -NG (1.7).","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
6c5d3d2a067e592cd81b,Kiwook_3,Kiwook_3:main:66ab9ac409911285a6b4,bc_svgn3_site_selection,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,nitrogen-vacancy support,SELECTS,single-vacancy adsorption site,nitrogen-vacancy support,SELECTS,single-vacancy adsorption site,,,,nitrogen-vacancy support,SELECTS,single-vacancy adsorption site,LEXICAL_FALSE_NEGATIVE,"For  $TM_1-SVGN_3$ , the  $M_1$  is embedded in the position of the S point for all the elements.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
6fb46eaedba84e24b962,Kiwook_2,Kiwook_2:main:3a476d4627a0350a8b17,bp_structural_asymmetry_suppresses_aggregation,SEMANTIC_CANDIDATE,candidate,RELABEL_AND_ACCEPT,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,support–precursor structural asymmetry,SUPPRESSES,precursor aggregation into block materials,support–precursor structural asymmetry,SUPPRESSES,precursor aggregation into block materials,protonated p-RGO sheets acting as counterions,SUPPRESSES,tungstate and molybdate fragment aggregation into block materials,protonated p-RGO sheets acting as counterions,SUPPRESSES,tungstate and molybdate fragment aggregation into block materials,ARGUMENT_SCOPE_MISMATCH,"The successful synthesis of  $\text{W}_1\text{Mo}_1\text{-NG DAC}$  is contributed to the structural asymmetry between the protonated p-RGO sheets and metal precursors in mild acidic solution, in which protonated p-RGO sheets working as counterion inhibit  $\text{WO}_4^{2-}$  and  $\text{MoO}_4^{2-}$  fragments aggregating into block materials (19).","[""ARGUMENT_SCOPE_AMBIGUOUS""]",[],[],1,yes
